/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=3720, episodic_return=[8.851936]
global_step=3738, episodic_return=[8.7653675]
global_step=3767, episodic_return=[18.40547]
global_step=3807, episodic_return=[45.44641]
global_step=3819, episodic_return=[10.778039]
global_step=3833, episodic_return=[8.269405]
global_step=3843, episodic_return=[7.090103]
global_step=3885, episodic_return=[34.597366]
global_step=3894, episodic_return=[6.8435545]
global_step=3956, episodic_return=[53.08811]
global_step=3980, episodic_return=[12.746833]
global_step=3996, episodic_return=[16.508196]
global_step=4028, episodic_return=[25.808296]
global_step=4049, episodic_return=[15.510846]
global_step=4063, episodic_return=[9.63821]
global_step=4074, episodic_return=[8.863639]
global_step=4093, episodic_return=[16.019444]
global_step=4106, episodic_return=[8.605234]
global_step=4119, episodic_return=[8.946108]
global_step=4146, episodic_return=[26.242447]
global_step=4160, episodic_return=[10.848424]
global_step=4185, episodic_return=[25.680252]
global_step=4197, episodic_return=[10.251773]
global_step=4234, episodic_return=[38.7899]
global_step=4258, episodic_return=[24.81161]
global_step=4274, episodic_return=[13.477428]
global_step=4285, episodic_return=[8.154961]
global_step=4297, episodic_return=[8.190714]
global_step=4316, episodic_return=[14.633832]
global_step=4351, episodic_return=[23.943407]
global_step=4366, episodic_return=[14.825683]
global_step=4380, episodic_return=[10.86439]
global_step=4412, episodic_return=[26.366417]
global_step=4429, episodic_return=[17.30703]
global_step=4462, episodic_return=[33.21909]
global_step=4483, episodic_return=[16.082838]
global_step=4518, episodic_return=[23.951826]
global_step=4528, episodic_return=[7.6526365]
global_step=4558, episodic_return=[18.537014]
global_step=4570, episodic_return=[6.1636505]
global_step=4588, episodic_return=[12.043251]
global_step=4608, episodic_return=[12.357389]
global_step=4628, episodic_return=[12.37872]
global_step=4640, episodic_return=[10.048963]
global_step=4663, episodic_return=[17.073519]
global_step=4689, episodic_return=[21.473314]
global_step=4700, episodic_return=[7.9410195]
global_step=4711, episodic_return=[7.507121]
global_step=4733, episodic_return=[6.672391]
global_step=4752, episodic_return=[12.429984]
global_step=4761, episodic_return=[6.9110622]
global_step=4780, episodic_return=[15.171541]
global_step=4808, episodic_return=[20.739357]
global_step=4824, episodic_return=[12.86224]
global_step=4841, episodic_return=[13.085238]
global_step=4856, episodic_return=[12.285757]
global_step=4876, episodic_return=[17.414215]
global_step=4903, episodic_return=[29.09583]
global_step=4925, episodic_return=[12.067542]
global_step=4948, episodic_return=[23.91979]
global_step=4968, episodic_return=[17.156742]
global_step=4987, episodic_return=[14.252809]
global_step=5007, episodic_return=[9.24876]
global_step=5026, episodic_return=[10.550716]
global_step=5037, episodic_return=[7.9988728]
global_step=5073, episodic_return=[20.138988]
global_step=5089, episodic_return=[7.867155]
SPS: 752
global_step=5103, episodic_return=[12.610088]
global_step=5118, episodic_return=[10.232685]
global_step=5136, episodic_return=[9.086724]
global_step=5149, episodic_return=[9.632691]
global_step=5164, episodic_return=[11.562811]
global_step=5177, episodic_return=[9.977818]
global_step=5196, episodic_return=[9.396]
SPS: 474
global_step=5211, episodic_return=[12.998766]
global_step=5227, episodic_return=[10.297126]
global_step=5246, episodic_return=[11.504715]
global_step=5258, episodic_return=[8.712931]
global_step=5270, episodic_return=[8.432586]
global_step=5298, episodic_return=[12.092516]
SPS: 350
global_step=5310, episodic_return=[9.923429]
global_step=5338, episodic_return=[18.6814]
global_step=5364, episodic_return=[10.674184]
global_step=5383, episodic_return=[16.372757]
global_step=5394, episodic_return=[7.987751]
SPS: 273
global_step=5410, episodic_return=[12.29661]
global_step=5430, episodic_return=[17.744318]
global_step=5447, episodic_return=[9.958441]
global_step=5466, episodic_return=[8.556986]
global_step=5476, episodic_return=[7.6107097]
global_step=5491, episodic_return=[11.08504]
SPS: 212
global_step=5518, episodic_return=[10.630231]
global_step=5545, episodic_return=[21.817095]
global_step=5556, episodic_return=[7.2109227]
global_step=5576, episodic_return=[11.674089]
global_step=5596, episodic_return=[10.2684]
SPS: 181
global_step=5612, episodic_return=[8.202096]
global_step=5662, episodic_return=[20.116243]
global_step=5680, episodic_return=[11.317765]
SPS: 160
global_step=5703, episodic_return=[10.294461]
global_step=5737, episodic_return=[38.21017]
global_step=5746, episodic_return=[6.9538727]
global_step=5761, episodic_return=[10.418645]
global_step=5796, episodic_return=[35.366695]
SPS: 144
global_step=5813, episodic_return=[16.025856]
global_step=5834, episodic_return=[9.628313]
global_step=5857, episodic_return=[19.490599]
global_step=5886, episodic_return=[20.705877]
global_step=5897, episodic_return=[6.7607765]
SPS: 127
global_step=5912, episodic_return=[7.7671337]
global_step=5921, episodic_return=[6.461081]
global_step=5944, episodic_return=[10.834743]
global_step=5956, episodic_return=[10.370496]
global_step=5978, episodic_return=[17.968788]
global_step=5991, episodic_return=[7.406781]
SPS: 118
global_step=6027, episodic_return=[46.79882]
global_step=6044, episodic_return=[16.048462]
global_step=6053, episodic_return=[6.2238703]
global_step=6061, episodic_return=[6.203621]
global_step=6081, episodic_return=[17.031519]
SPS: 109
global_step=6115, episodic_return=[32.861988]
global_step=6126, episodic_return=[7.3554125]
global_step=6167, episodic_return=[38.073402]
global_step=6183, episodic_return=[12.952692]
SPS: 103
global_step=6211, episodic_return=[18.085794]
global_step=6230, episodic_return=[13.709277]
global_step=6253, episodic_return=[13.525245]
global_step=6265, episodic_return=[7.2247233]
global_step=6275, episodic_return=[4.8460917]
global_step=6290, episodic_return=[11.891518]
SPS: 95
global_step=6318, episodic_return=[32.0928]
global_step=6339, episodic_return=[11.889518]
global_step=6356, episodic_return=[17.885422]
global_step=6389, episodic_return=[39.028435]
SPS: 89
global_step=6402, episodic_return=[10.257809]
global_step=6412, episodic_return=[6.633794]
global_step=6460, episodic_return=[74.78097]
global_step=6476, episodic_return=[10.965958]
global_step=6491, episodic_return=[13.6188545]
SPS: 85
global_step=6509, episodic_return=[8.724133]
global_step=6526, episodic_return=[15.486957]
global_step=6536, episodic_return=[8.237335]
global_step=6552, episodic_return=[13.822556]
global_step=6571, episodic_return=[13.329367]
global_step=6589, episodic_return=[16.099321]
SPS: 80
global_step=6612, episodic_return=[19.950167]
global_step=6636, episodic_return=[28.666138]
global_step=6661, episodic_return=[16.747017]
global_step=6680, episodic_return=[12.665315]
SPS: 76
global_step=6736, episodic_return=[75.1983]
global_step=6780, episodic_return=[57.821667]
SPS: 73
global_step=6807, episodic_return=[13.856606]
global_step=6816, episodic_return=[6.1124744]
global_step=6842, episodic_return=[7.7754784]
global_step=6868, episodic_return=[18.39798]
global_step=6897, episodic_return=[15.820453]
SPS: 70
global_step=6909, episodic_return=[8.933306]
global_step=6929, episodic_return=[15.839433]
global_step=6956, episodic_return=[20.336155]
global_step=6973, episodic_return=[13.283453]
SPS: 67
global_step=7006, episodic_return=[19.661701]
global_step=7034, episodic_return=[15.926978]
global_step=7099, episodic_return=[110.01335]
SPS: 65
global_step=7149, episodic_return=[72.922485]
global_step=7184, episodic_return=[13.217435]
SPS: 63
global_step=7212, episodic_return=[18.404234]
global_step=7240, episodic_return=[24.471722]
global_step=7258, episodic_return=[14.288622]
SPS: 61
global_step=7302, episodic_return=[65.74141]
global_step=7313, episodic_return=[8.87396]
global_step=7324, episodic_return=[6.9734535]
global_step=7333, episodic_return=[5.3228235]
global_step=7346, episodic_return=[10.070351]
global_step=7360, episodic_return=[7.500913]
global_step=7379, episodic_return=[12.238463]
global_step=7389, episodic_return=[8.682683]
SPS: 59
global_step=7407, episodic_return=[18.844511]
global_step=7442, episodic_return=[35.935898]
global_step=7458, episodic_return=[15.439201]
global_step=7475, episodic_return=[14.221337]
global_step=7494, episodic_return=[16.402529]
SPS: 58
global_step=7529, episodic_return=[7.966515]
global_step=7587, episodic_return=[91.16399]
SPS: 56
global_step=7660, episodic_return=[128.79852]
global_step=7684, episodic_return=[24.96302]
SPS: 55
global_step=7706, episodic_return=[17.70897]
global_step=7772, episodic_return=[91.91779]
SPS: 53
global_step=7848, episodic_return=[113.95049]
global_step=7892, episodic_return=[38.999897]
SPS: 52
global_step=7916, episodic_return=[27.051025]
global_step=7936, episodic_return=[20.756214]
global_step=7954, episodic_return=[18.038885]
global_step=7976, episodic_return=[19.462498]
SPS: 51
global_step=8039, episodic_return=[63.65214]
global_step=8079, episodic_return=[55.784794]
global_step=8091, episodic_return=[6.964416]
SPS: 50
global_step=8109, episodic_return=[18.613266]
global_step=8128, episodic_return=[9.8078785]
global_step=8159, episodic_return=[21.70198]
global_step=8180, episodic_return=[21.984213]
SPS: 50
